,tid,status,tag,date,title,clean_content
10,28875,求助中,语音,2018-1-1,高德新版导航用着就彻底没有声音了,高德新版导航用着就彻底没有声音了。导航导着就不说话了，今天出现过一次，重新输入目的载导航又有声音了。导航的时候我没开音乐，新版有区间测速了。还有有时候开导航都要闪退一次。再开又好了，还望改进。
11,28868,求助中,导航,2018-1-1,手贱更新车机v2.8.2指北针不停旋转,飞歌导航g8二代，原来是2.8.1版本，昨天装了最新车机2.8.2地图界面，指北针不停旋转。现在想装回2.8.1可是没有app了，怎么下载啊，求救
12,28874,求助中,,2018-1-1,求助大家,            QQ图片20180101183747.png (96.82 KB， 下载次数: 0)    下载附件        5&nbsp;小时前 上传              我在长安官网上下载了，2016款新逸动全量地图包，为何需要输入激活吗？？？？请问如何输入？？？谢谢。
13,28863,已解决,,2017-12-31,2.8.2公众测试版,2.8.2公众测试版安装上运行正常，但反应速度明显比前期产品慢了许多，使用起来感到极不适应，希望尽快解这一问题！                                                            amapGkXICsBj 获得最佳答案
14,28873,求助中,用户建议,2018-1-1,希望车机版能跟手机版一样 多种高速路线列出相应的过路费,希望车机版能跟手机版一样 多种高速路线列出相应的过路费
15,28855,求助中,,2017-12-31,V2.8.2 正常好用！基本解决V2.8.1 的重大问题。, 本帖最后由 LCM机车版 于 2017-12-31 13:48 编辑       亲测，可以正常报道 限速、前面摄像头等等信息（此为导航的基本和根本要求，单单解决这点，就比V2.8.1这样的“半成品” 好得多）    再测试用户反馈的 “导航[咚]一声，原来播放的歌曲就没声音” 反复测试暂时并没有发现此问题。相反，当导航语音提示后，会将“歌曲播放器”的音量（或可能是系统音量）调高了一档，问题不严重。    还有用户反馈的 “程序闪退” 问题，目前也未遇到。    V2.8.2 发现问题是 [卫星定位] 很慢，在大路行驶中都需要一分钟以上。    以往的 “导小路” 问题未经测试，全是上下班时间测试，未有机会体现。    总结，V2.8.2 纵使不完美，起码能称为导航软件。
16,28870,求助中,导航,2018-1-1,12月29日版本导航和地图数据路走错了重新计算不出来,12月29日版本的导航软件和地图数据，路测故意转弯错误，也不提示，而且前方限速播报以后，叮咚的一声没有了，也不提示限速速度，巡航时有限速速度提示，正常导航时没有，提示，请改进
17,20737,求助中,官方发言,2016-10-25,2.0版本安装说明【地图安装+软件安装】, 本帖最后由 小瑞0117 于 2017-11-1 16:03 编辑   一、地图升级  方式一：程序内数据升级进入【更多】--【离线数据】，选择有更新提示的城市进行更新。              Screenshot_2016-10-24-14-52-11.png (144.97 KB， 下载次数: 6747)    下载附件        2016-10-24 14:53 上传                  注：此功能需要车机连接网络              QQ图片20161024155502.jpg (273.05 KB， 下载次数: 703)    下载附件        2016-10-24 15:55 上传                    方式二：U盘更新  步骤一：在官网下载地图数据，可选择下载全国地图数据或分省地图数据。下载全国地图数据后，选择右键解压到当前文件夹即amapauto8文件夹；若下载多个分省地图数据后，全选并右键解压到当前文件夹即amapauto8文件夹。              QQ截图20161018114643.png (79.8 KB， 下载次数: 3173)    下载附件        2016-10-24 15:56 上传                  步骤二：将解压后的数据存放于U盘根目录，进入【离线数据】页面，点击零流量更新，选择【U盘更新】。              Screenshot_2016-10-11-16-09-08.png (114.37 KB， 下载次数: 1089)    下载附件        2016-10-24 16:09 上传                  步骤三：车机将自动识别您U盘中的数据，您可根据需要选择需要更新的数据。              QQ图片20160928200950.png (193.25 KB， 下载次数: 342)    下载附件        2016-10-24 16:11 上传                  步骤四：根据需要选择任意城市的数据。              QQ图片20160928161340.png (233.87 KB， 下载次数: 166)    下载附件        2016-10-24 16:12 上传                  完成更新。              QQ图片20160928161345.png (239.15 KB， 下载次数: 144)    下载附件        2016-10-24 16:12 上传                    方式三：手机热点传输数据    步骤一：车机需连接手机热点      步骤二：手机版高德地图下载离线数据。（需下载地图+导航数据）&nbsp; &nbsp;  步骤三：进入【工具箱】选择【连接汽车】。成功后进入下图页面，选择将手机版的离线数据发送给车机版。&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;  步骤四：车机开始接收数据，直到全部完成。        注意：目前IOS版本手机高德地图不支持此方法。安卓版本请使用V8.0.6及以下版本，方可使用此方法。  方式四：数据拷贝步骤一：在官网（www.amapauto.com）下载地图数据包，可选择下载全国地图数据或分省地图数据。    下载全国地图数据后，选择右键解压到当前文件夹即amapauto8文件夹；若下载多个分省地图数据后，全选后右键解压到当前文件夹即amapauto8文件夹。    步骤二：将数据拷贝到U盘中，用文件管理器打开。              图片3.png (106.36 KB， 下载次数: 328)    下载附件        2016-10-24 16:20 上传                  将U盘中的amapauto8拷贝到车机数据存储路径的根目录下。              图片4.png (85.82 KB， 下载次数: 265)    下载附件        2016-10-24 16:20 上传                  步骤三：若提醒则选择全部覆盖，完成后重启软件即可使用离线数据。              Screenshot_2016-10-19-17-46-47.png (75.63 KB， 下载次数: 102)    下载附件        2016-10-24 16:23 上传                  拷贝完成。              QQ图片20161019194831.png (98.33 KB， 下载次数: 80)    下载附件        2016-10-24 16:24 上传                    二、软件升级      方式一：程序内升级进入【设置】--【其他设置】--【关于软件】中，选择检测更新。注：只有正式版才可程序内升级    方式二：官网下载安装步骤一：在官网下载公众版V2.0版本              QQ截图20161109165104.png (245.39 KB， 下载次数: 1375)    下载附件        2016-11-9 16:51 上传                  步骤二：将软件拷贝到U盘中。              图片1.png (150.14 KB， 下载次数: 690)    下载附件        2016-10-24 14:36 上传                  步骤三：将U盘插入车机，用文件管理器打开，找到U盘中的软件，点击安装即可。              图片2.png (83.38 KB， 下载次数: 276)    下载附件        2016-10-24 14:40 上传                  步骤四：安装成功。              Screenshot_2016-10-10-10-32-14.png (25.23 KB， 下载次数: 225)    下载附件        2016-10-24 14:46 上传                  更多说明请下载：              高德地图车机版2.0.1数据升级说明.pdf    (1.47 MB， 下载次数: 2947)        2016-11-24 16:55 上传  点击文件名下载附件                              高德地图车机版2.0数据升级说明.pdf    (1.44 MB， 下载次数: 494)        2016-10-24 19:04 上传  点击文件名下载附件  阅读权限: 200            
18,28872,求助中,地图数据,2018-1-1,离线地图搜索福建泉州动车站都搜不到,这边离线的时候搜索泉州动车站都搜不到。搜索景点也搜不到，联网了才能搜到，要怎么解决啊?
19,28828,求助中,导航,2017-12-30,请问1229版本还会卡么,29号的好在哪里？仔细说说，因为看论坛上各种说2.82版本的不好和卡，我没敢升级，如果真的好，我就升级了，还有，要求的机器最低是什么配置？我的机器CPU是4核的，运行内存1G，支持外置卡，不知是否可以升级？多谢
20,28862,求助中,地图数据,2017-12-31,长安CS35升级2.0以后 地图数据不兼容,长安CS35升级2.0以后 地图数据不兼容，下载的地图是车厂原装用户，然而发现导航更新了，地图官网没有适合2.0的地图数据
21,28871,已解决,适配,2018-1-1,请问高德专家amapauto与amapauto8有什么区别,我是高德的忠实用户，在昨天看到长安官网升级导航信息，我升级了，但是但升级数据时，我下载的是全国数据，但是安装时却显示不兼容，说明里下载的是amapauto8，我下载完的数据显示是amapauto，怎样做能下载到兼容的数据，难道又是要收费吗？                                                          amap_138****8393SGY20GtU 获得最佳答案
22,28835,求助中,地图数据,2017-12-30,16款逸动更新车机后，下载车厂原装用户的数据无法更新,16款逸动更新车机后，下载车厂原装用户的数据无法更新，只能用公众版的。    是不是没有车厂原装数据了？
23,28861,求助中,用户建议,2017-12-31,车机2.82版会闪退，以前版本从不闪退, 本帖最后由 芋 艿 头 于 2017-12-31 22:04 编辑   首先感谢高德为我们提供了这么好的导航软件。  从1.几版本我就使用高德地图车机版，从没有闪退的现象。  但是，最近使用2.82版的2个版本（12月26日？12月29日），都遇到了闪退现象。闪退没有规律，不知道什么时候会闪退。就在刚刚，我用29日的版本，一开机就闪退，再次进入，又闪退。再一次进入，能运行了，但是点击导航，导航路线计算不出来，闪退。再一次进入，导航路线计算出来了，点导航，但导航不运行，只是巡航状态。再点导航，能出线路，但还是不导航，而是巡航，而且，无声！！！导航的所有设置都消失了（比如高德音量设置变成最大，但是实际声音是没有的）。但此时系统是正常有声的，比如收音机。  有一点必须说明，我的车机从不乱安装软件，现在的车机软件环境，与以前用高德地图老版本时完全一致。顺便说一句：我一直用的是离线导航，高德小二就不要再问这个了。
24,28867,求助中,导航,2018-1-1,16款悦翔V7系统更新后，下载U盘地图数据不兼容。求解,16款悦翔V7系统更新后，下载U盘地图数据不兼容。求解
25,28848,求助中,,2017-12-31,12月29日V2.8.2.1363巡航状态,12月29日V2.8.2.1363巡航状态，一切正常，什么昼夜切换，音乐和视频播放正常，设置压低声音就是压低。限速播报也正常，有时间导航试一下怎么样。
26,28853,求助中,地图数据,2017-12-31,长安逸动车机板2.0地图适配,怎么找不到
27,28856,求助中,导航,2017-12-31,导航更新后地图数据太大，内存不足怎么办，在线等,导航更新后，不能使用单独的省份地图，必须下载全部地图数据，但是下载全部的数据又太大，内存才2G，数据9G这怎么办。
28,28864,求助中,导航,2017-12-31,2017款捷豹Fpace高德导航怎么升级？,来寻求帮助了。    2017款捷豹Fpace内置的高德导航。    地图版本： v35.1.030006.0009  导航系统版本：v2.0.030000.0089  引擎版本号：v7.2.030006.0068    请问算是什么版本？ ——适配版？还是大众版？    得怎么升级呢？在http://auto.amap.com/download/map_data 下载了V2.0公众版的全量地图数据（7.2G），解压出来amapauto8文件夹，放在U盘，不能识别啊。。      有大神解答么？？                    地图版本.png (617.28 KB， 下载次数: 0)    下载附件        昨天&nbsp;20:47 上传                                地图更新.png (258.32 KB， 下载次数: 0)    下载附件        昨天&nbsp;20:48 上传              
29,28865,求助中,导航,2017-12-31,感谢高德导航,一年来，在高德地图的导航下，开车去了国内许多地方，基本顺利完成旅程。感谢高德开发人员的努力！希望在2018年推出更流畅，美观，实用的高德地图导航产品，更希望新版本能用上中国的北斗导航信号，摆脱GPS，成为真正的中国导航先锋！
30,28847,已解决,地图数据,2017-12-30,2.8.2的2个版本闪退严重, 本帖最后由 lym4238 于 2017-12-30 22:24 编辑   已经安装了2.8.2.1363版本，由于经常闪退，想装回旧版本，如果装回2.8.0.2073版本的话，2.8.2专属地图数据能否继续使用，还是删掉新数据，下载2.8.0版本的数据。是否安装了2.0数据后，3.0的数据也会自动删除呢？                                                            amap_138****8393SGY20GtU 获得最佳答案
31,28859,求助中,,2017-12-31,2.8.2卡顿严重！！,刚更新的车机版2.8.2时时定位非常卡顿！！跟上一版本差别很大！怎么退回到上一版本？太失望了！
32,28817,求助中,语音,2017-12-29,一条关乎亿万使用高德导航车主的驾车安全的建议,1、建议更新优化语音控制系统，可参考百度地图的语音“小度小度“功能，完全解放双手，增加了驾车的安全性。人家的确做的好。2、增加“足迹”功能。参见百度地图的，高德这方面不行啊，要加油！  觉得意见可以的，大家顶起来！  
33,28846,求助中,,2017-12-30,26号和29号的2.8.2又比以前的多了个问题,26号和29号的2.8.2又比以前的多了个问题，这几天装了26号和29号的2.8.2，都有问题.  叮一声之后，音乐没了声音这个就不说了，老问题了.  现在说，这2个版本都不能自动识别主辅路，这个都算了，我还有手，用手指点，但是，这2个版本不能点，点了没反应的，根本就不能手动点主辅路  而且定位比以前版本慢N公里，我都开了2公里路了，还没定好位.  定好位后，感觉导航行进过程，不像以前那样顺畅，像一格一格的向前
34,28860,已解决,车友分享,2017-12-31,关于安装12月29日V2.8.2.1363后的剩余内存,我的程序内存只有512M，安装软件后剩余近30M，运行V2.8.2.1363没有发现卡顿现象，不过我的设备内部存储空间有6.28G，主要用于储存地图数据，实际使用约2G。                                                          amap_138****4238ARPkzR2Q4 获得最佳答案
35,28858,求助中,导航,2017-12-31,12.29beta的两个致命问题, 本帖最后由 trunmph 于 2017-12-31 15:57 编辑   12.29版本 车载中控是 德众尚杰的D90-9017导航， 版本为安卓4.4。 11.30日由杭州市导航安徽亳州，全程WiFi热点，车机版导航发现如下两个问题:  1.因为很早之前就决定了要开车，一直关注天气路况， 12.29日已经出现了大雾， 宁洛高速苏皖交接处12.29夜里10点到凌晨6点之后一直是红色。 同时天气预报显示 南京 滁州 蚌埠段大雾。&nbsp;&nbsp;原以为走不了， 但高德地图车机版联网状态下，还是推荐 走杭宁高速 南京二桥 宁洛高速。 7:30杭州出发 12:30在南京二桥八卦洲服务区休息完毕， 结果出来服务区三四公里悲剧了， 开始了漫长的拥堵， 一直堵到下午接近3点中 ，那么试问高德地图，既然宁洛高速 苏皖交界处直到下午2点左右才同行？ 为什么还导航此路，接近上万辆车 绵延15公里， 高速同行之后，到处是车，非常难开。&nbsp;&nbsp;杭州到南京320公里开了3个小时5分钟， 从南京到亳州正常370公里 4个小时即可，结果跑了8个半小时  2. 高德地图车机版每次时间前提一个小时，比如下午1点钟整的时候，高速播报时间，下午2点钟。 所以试问高德地图，这是中国，不是韩国题日本，请用北京时间。
36,28044,已解决,用户建议,2017-10-26,高分辨率下高德、腾讯、百度车机版的对比及建议, 本帖最后由&nbsp;&nbsp;于 2017-10-26 16:53 编辑   首先，从总体上来说，对高德导航车机版的使用还是比较满意的，本次对比不涉及各导航使用中的优劣，仅对比显示方面的不同。近日，闲鱼入手一款华硕me572c平板，7寸分辨率为1920*1200，计划放到车上做外置导航仪，经过试用，感觉各大导航厂商车机版对高分辨率的显示适配得都不太完美，也可以说从易用性方面规划得不好，以下上图，真相在此              Screenshot_2017-10-26-16-14-45.jpg (898.39 KB， 下载次数: 0)    下载附件        2017-10-26 16:28 上传              这张是高德车机版的截图做得比较好的是各功能按钮很大，不受分辨率影响，这点在使用时非常实用，而且不影响开车时点击缺点是：地图上地点的字实在是太太太太小了，看不清楚啊                Screenshot_2017-10-26-16-15-55.jpg (974.64 KB， 下载次数: 1)    下载附件        2017-10-26 16:28 上传              这个是腾讯地图车机版的截图和高德相反，腾讯地图POI的字体让人觉得满意，而且配色也比高德舒服，但就是在高分辨率下，功能按钮又变得很小                Screenshot_2017-10-26-16-16-45.jpg (893.44 KB， 下载次数: 0)    下载附件        2017-10-26 16:28 上传              这个是百度地图汽车版的截图三个地图中就显示来说觉得最不好，按钮小，字也小  总结，高德、腾讯、百度三个车机版地图各有缺点，也各有各自的优点。希望高德能够继续发挥自己的长处，同时改进文字太小的问题，最好是能够设置中添加自定义字体大小和增加地图配色的选项。                                                            amap_135****1110ULE7P2UE 获得最佳答案
37,28836,求助中,,2017-12-30,车机V2.8.2 众测版导航时出现的大问题,今早上班路上为了看路况就开了导航，顺便测试一下这个新版本，走到一半路时突然发现屏幕上绿色的导航轨迹消失了，退出导航后重新进入才恢复。  此外发现上了高架后进入立体视角的显示模式（借用一下网友的图），按理说这个理念是先进的，但驾驶员更多的是考虑前方路口分叉的预判信息，所以路口放大图还是不能省略，可以把路口放大图增加到屏幕右上角。                111.jpg (95.3 KB， 下载次数: 0)    下载附件        前天&nbsp;10:34 上传                    
38,28845,求助中,,2017-12-30,关于高德车机2.8.2最新BUG反馈，请尽快解决,1:&nbsp;&nbsp;2.8.1-2.8.2启动进入主界面都是比之前的版本非常慢.    2:那个地图比例设置到最大，然后重启后默认又变回25了。    3：卡顿问题暂没解决，设置点击进入反应非常迟钝。    4：路口放大图在线无，离线就有。    
39,28854,求助中,,2017-12-31,咨询,2015款手动豪华逸动导航怎么升级
40,28852,求助中,,2017-12-31,最近的新版老是一点离线地图就检查文件,之前用的老版本没有这个问题，更新了就一直出现！地图用的全国数据！
41,28851,已解决,,2017-12-31,路线规划建议,系统提供的路线建议增加用户好评率，方便用户判断选择那条路线                                                          amap_136****3235A5xmXXuNH 获得最佳答案
42,28843,求助中,地图数据,2017-12-30,2.8.2.1363版本路口放大图确实少了，有些路口矢量图也没了,今天升级固件，恢复出厂，重新安装应用。首先测试3D模式下比例尺问题，开始正常但导航一次后重启应用进入后又到默认的25米了。在熟悉的路测试导航（为测试之前版本出现的路口放大图此版是否正常出现），确实有些路口矢量图没了。
43,28841,求助中,,2017-12-30,咚的一声音，全世界都安静了！,29号的最新版本测试下来，主要有几个问题：  1、开机搜索定位非常慢，有时十几分钟才能定位。这我能忍，不介意！  2、离线导航规划路线和在线规划路线没有可比性，因为在线规划明显处于更合理。这我能忍，也能接受！  3、其它人提及的卡顿，闪退等问题，我的倒是没出现。所以不发表意见！  4、凯行在巡航和导航过程都是会显示当前车速的。高德在导航过程是不显示车速的。这我还能忍，但还是建议在导航过程实在显示车速。咋不是啥好车，没有那么多好的硬件支持，就连仪表盘上的车速都是不准确的，比正常的少五公里左右，开车过程没精神去计算。  5、过了违章后，咚的一声原本是提示已经安全通过，我并不反对这声音所起的作用，但导致音乐无法恢复，这已经是很长时间的问题了，提了N次，所有的方法都用过，没办法解决，我就差去学习修改你的文件了，可惜不会。只能对你们的攻城狮执着的抱着希望。这问题肯定是出在你们身上的，因为其它的导航我都测试过，没有这问题，包括凯立德，凯行，腾讯，百度等车机版导航。我觉得要么把这个咚的声音前后加上空音，延长这个声音的时间，因为我怀疑是这个声音太短导致的，或者在这个咚的声音添加一句人声，比如：咚，您已通过违章拍摄区域。当然，最烂的办法就是添加第三个互不干扰的选择，直接让导航的播报声和音乐互不干扰，同时存在，我相信这个对于攻城狮来讲不是一件难事。    愿意来提意见，就肯定是因为高德导航相比其它导航有自己特别中意的一面，不是故意来黑高德。但请别老用官方语言来应付，那只会让人觉得提意见就是在浪费自己的时间。我现在已经卸了高德车机版，转用凯行，尽管我不是很中意凯行，但至少使用凯行，音乐被压低后都能恢复，并且导航过程还显示车速。本人心里还是很喜欢高德车机版，还是会执着的希望攻城狮能解决我最讨厌的这个咚一声不恢复音乐的问题。音乐的中断就像一包烟已抽完，想抽了，车上却没烟的感觉，让人烦躁不安。哪天解决了，我还是很乐意转回高德。
44,28842,求助中,,2017-12-30,祝高德论坛的客服们元旦快乐！,&nbsp; &nbsp;&nbsp; &nbsp;到高德论坛快一年了，真佩服客服的工作。车友们机器不行喷，知识不懂也喷，而你们总是能默默地忍受，不容易啊！  以前自己长期用凯立德导航，嫌弃其地图数据更新慢（去西藏时发现通车许久的路，凯立德都没有），所以高德车机版2.0发  布后，就开始使用更新到现在。总体没有问题，尤其好用的是在城市里的车道级导航。当然我也批评过一些缺点，希望高德越  做越好。也希望跟车友们说“机器可以垃圾，人不能垃圾。”’    &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;元旦快乐，平安出行！
45,28849,求助中,,2017-12-31,2018开启用户体验计划,如题，不过首先是自愿和不违反国家相关隐私法规。人工反馈问题麻烦且提交量少，无法适应大数据时代需求，系统自动读取并提交数据就方便快捷多了
46,28821,求助中,,2017-12-29,车越来越不好开了，高德应该定位在行车秘书，不单是导.....,原来没有车，看着那么宽广的公路，只能在边上溜达，很是不自在，我要在中间走，我要买车，我要做公路的主人！！！等有了车之后才发现，原来公路中间是给孙子走的！开个车得看灯，看线，看人…不是想怎么走就怎么走，而是让你怎么走，你才能怎么走，最近又开始礼让行人了，这本是对的，但电子眼监控拍照把这事弄得很教条…开车变得越来越累！高德应该向人工智能方向发展，推出硬件产品，通过摄像头分析前方路况，交通标识，行人…对驾驶者提出意见，比如，前方斑马线，根据前方行人移动速度，提示是否需要让行，再者，发现穿制服的，提示有警察，谨慎驾驶，根据前车车牌，提示前车有随意变道习惯，离她远点，前方劳斯莱斯，请加大车距……  高德，你的发展空间太大了
47,28831,求助中,适配,2017-12-30,请问12.29版本的车机版支持竖屏否？？？！！,请问12.29版本的车机版支持竖屏否？？？！！
48,28827,求助中,,2017-12-30,新版本问题,昨天更新了29号的1363.出现卡顿，打开地图显示缓慢，导航偶尔闪退。26号的2.82地图还没有这个问题！我的导航是4.4.4的    
49,28829,求助中,导航,2017-12-30,换成12.29这版后 点导航卡住闪退的问题 解决了, 本帖最后由 卡罗拉 1.2T d4t 于 2017-12-30 16:34 编辑   换成12.29这版后 点导航卡住闪退的问题 解决了&nbsp;&nbsp;其它的问题还没发现   这版性能和以前一样 不卡了  感谢攻城狮们的辛苦        2.8.1完美&nbsp;&nbsp;  2.8.2&nbsp;&nbsp;26号版本&nbsp;&nbsp;点导航时卡住后闪退&nbsp; &nbsp;  2.8.2 29号版本&nbsp;&nbsp;点导航时不闪退了，一切都Ok ，  但是在导航结束后 又出现了 闪退现象&nbsp;&nbsp;离线 飞歌4.0 2.8.2 29号版本1363  
50,28826,求助中,,2017-12-30,高德安全隐患,首先说明高德确实好用。  以下几个方面有安全隐患。  1.取消了3D模式，车镜导航竖向长度不够导致前方看不到  &nbsp; &nbsp;很难调一个很好的大小导致驾驶过程中操作，一会大一会小  &nbsp; &nbsp;不安全。  2.声控放大地图放小地图在巡航模式下不能用导致驾驶中用  &nbsp;&nbsp;手操作分神很严重容易发生事故。平时实时路况巡航较多  &nbsp;&nbsp;为什么巡航模式下的声控功能取消呢？？？
51,28839,求助中,,2017-12-30,长安CS75 2017尚酷版锋享型升级12月27日incall地图数据不兼容, 本帖最后由&nbsp;&nbsp;于 2017-12-30 16:57 编辑   长安CS75 2017尚酷版锋享型升级12月27日incall，原车机自带高德地图1.6版本升级为2.1版本，从高德官网下载长安CS75&nbsp;&nbsp;2017款 全国地图数据，升级时提示U盘数据不兼容？望更新~~~~~  
52,28776,已解决,导航,2017-12-28,发现最新版的一个新问题, 本帖最后由 sdwl 于 2017-12-28 16:00 编辑   以前的版本在车机没有或无法联网的情况下会自动使用离线数据进行导航，而最新的2.8.2版本，在车机wifi开着但没有连接外网比如连接了记录仪时，会一直显示“路线规划中”，直到最后提示“网络不畅，请检查网络设置”，而不会切换到使用离线数据导航，只有把WIFI连接关了才行。                                                          amap_136****3235A5xmXXuNH 获得最佳答案
53,27191,已解决,导航,2017-9-2,"最新2.8版本为什么没有限速提醒了呢,以前提示:前方限速70,...",最新2.8版本为什么没有限速提醒了呢，以前提示:前方限速70，请谨慎驾驶，现在不提示了呢                                                            amapVcq2pzE2 获得最佳答案
54,28840,求助中,用户建议,2017-12-30,车牌号码只能输入6位，新能源车牌号码是7位，请解决！,与普通汽车号牌相比，新能源汽车号牌号码增加了1位，如原&quot;沪AF1234&quot;升位至&quot;沪AF12345&quot;，6位升7位。升位后，号码编排更加科学合理，避免了与普通汽车号牌&quot;重号&quot;，有利于在车辆高速行驶时更准确辨识。    高德地图-编辑车辆-基本信息-车牌号码，输入“AF12345” 显示车牌不能超过6位，变成“AF1234” ，请尽快解决，谢谢！  
55,28722,求助中,导航,2017-12-27,关于2.8.2卡顿问题尽快解决。,使用过程中 打开&nbsp;&nbsp;点击按钮进入过程有卡顿的感觉&nbsp;&nbsp;这种应该属于过渡动画的卡顿&nbsp;&nbsp;需要尽快解决一下。
56,28739,求助中,导航,2017-12-27,全找好以后 点“导航”卡住几秒后 闪退,飞歌4代导航&nbsp; &nbsp;用2.8.2&nbsp;&nbsp;全找好以后 点“导航”卡住几秒后 闪退&nbsp;&nbsp;，在哪里能下载到2.8.1呀 急
57,28611,求助中,适配,2017-12-20,高德车机版2.8.1打开闪退，已定位问题, 本帖最后由 wx_ankye 于 2017-12-20 10:45 编辑   最新版本打开的时候如果上次导航没退出，再次进入会提示是否继续上次导航，然后就闪退了，毕现，设置里关都关不掉，这个是我的机器才有还是所有机器都有
58,28751,求助中,用户建议,2017-12-28,2.8.2闪退问题,从目前车主反映的情况来看，2.8.2在机车上发生闪退的概率很高，希望高德能尽快修复此BUG。  我的机车是安卓5.0，高德2.8.2可以正常安装，进入，但每次打开第一次点导航就会闪退。
59,28819,求助中,,2017-12-29,闪退、闪退、闪退,最新连续发布的二个版本严重闪退，高德攻城狮们抓紧解决吧。
60,28818,求助中,,2017-12-29,无法安装,下载2.8.2版后，第一次出现无法安装。{显示解析程序出现问题}，重载两次也无法解决。安装2.8可以用。看来很不成熟
61,28837,求助中,车机互联,2017-12-30,mirrorlink版本还更新吗？,我们这种没法装安卓车机的，就靠着mirrorlink版本活，已经快2年没更新了，能不能更新一下？求求你们了
