,comments,down,favs,hl,mall,neat_title,pid,tag,up,NPS
33,12,14,1,1460元购车礼包、300元现金优惠,易车,长安 CS55 线上专享优惠,8333043,购车必看,23,24.324324324324326
34,12,13,4,免购置税、万元置换礼包、1460元易车礼包,易车,沃尔沃 XC60 线上专享补贴,8332932,购车必看,22,25.71428571428571
35,31,26,8,1000元现金红包、18期0利率、500元车款立减,易车,宝骏 560 线上专享优惠,8315584,购车必看,8,-52.94117647058824
36,47,16,11,50%购置税补贴、10000元保养补贴、1460元礼包,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8315566,购车必看,41,43.859649122807014
37,14,18,1,2000元现金优惠、1200元京东卡,易车,驭胜 S330 线上专享优惠,8315103,购车必看,10,-28.57142857142857
38,11,2,2,千元音乐礼包、1460元易车礼包,易车,奇瑞 艾瑞泽7 线上专享补贴 ,8315059,购车必看,28,86.66666666666667
39,57,9,31,置换补贴、送车顶行李架、1460元礼包,易车,VOLVO 沃尔沃 V90 Cross Country 线上专享优惠,8314525,购车必看,70,77.21518987341773
40,24,6,2,千元音乐礼包、1460元易车礼包,易车,CHERY 奇瑞 艾瑞泽5 线上专享购车补贴,8312803,购车必看,65,83.09859154929578
41,14,4,2,试驾送T恤、2000订金抵4000车款,易车,宝骏 310 wagon 手动豪华版 线上专享优惠,8312730,购车必看,27,74.19354838709677
42,24,40,14,31000元车款优惠、赢取iPhone X等,车享,Jeep 自由光 线上专享优惠 ,8307683,购车必看,23,-26.984126984126984
43,42,5,8,千元音乐礼包、1460元易车礼包,易车,CHERY 奇瑞 瑞虎5X 线上专享优惠,8306204,购车必看,66,85.91549295774648
44,51,12,19,2年0利率、首付低至1.6万、1460元礼包,易车,GEELY 吉利 帝豪GS 线上专享优惠,8306132,购车必看,45,57.89473684210527
45,18,8,3,50%购置税补贴、置换礼包、分期0利息、1460元礼包,易车,VOLVO 沃尔沃 V40 线上专享优惠,8306089,购车必看,15,30.434782608695656
46,71,13,24,50%购置税补贴、10000元保险补贴、1460元礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,8299795,购车必看,90,74.75728155339806
47,16,27,1,300元优惠,易车,长安 CS75 线上专享优惠,8299690,购车必看,9,-50.0
48,6,9,1,2000元现金优惠,易车,驭胜S350 线上专享优惠,8299565,购车必看,5,-28.57142857142857
49,10,0,3,279元,京东,盯盯拍 mini2 行车记录仪,8296460,NULL,1,100.0
50,40,8,14,500元车款优惠,易车,宝骏 510 线上专享优惠,8291706,购车必看,28,55.55555555555556
51,20,6,4,置换礼，分期0利息、1460元礼包,易车,VOLVO 沃尔沃 V60 线上专享优惠,8291650,购车必看,24,60.0
52,2,0,0,38元（需用券）,聚划算,solam 索浪 车载MP3播放器 汽车蓝牙接收器 车载充电器,8294317,NULL,0,
53,9,52,11,15760元礼包、再赢手机、行车记录仪,易车,上汽大众 途观L 线上专享补贴,8291604,购车必看,15,-55.223880597014926
54,85,12,8,3000元购车礼,保时捷中国官网,Porsche 保时捷 Panamera 线上专享优惠,8277858,杭州车源,384,93.93939393939394
55,23,17,8,1460元购车礼包、300元现金优惠,易车,长安 CS55 线上专享优惠,8283602,购车必看,20,8.108108108108109
56,11,17,5,1000元现金优惠、送3次基础保养,易车,一汽奔腾 X40 小型SUV,8283520,购车必看,20,8.108108108108109
57,89,45,7,购车立减1000元车款,易车,东风标致 4008 线上专享优惠,8283552,购车必看,34,-13.924050632911392
58,27,34,9,12060元礼包、行车记录仪,易车,上汽大众 Polo GTI GP 线上专享补贴,8283491,购车必看,10,-54.54545454545454
59,156,18,62,可享1年0利率金融方案,天猫精选,玛莎拉蒂Levante经典版 售88.8万,8272967,NULL,421,91.79954441913439
60,28,14,21,试驾送T恤、2000订金抵4000车款,易车,宝骏 310 wagon 手动豪华版 线上专享优惠,8278422,购车必看,25,28.205128205128204
61,99,75,25,18060元礼包、赢行车记录仪,易车,上汽大众 途昂 中大型SUV 线上专享优惠,8280393,购车必看,36,-35.13513513513514
62,0,1,4,多种方案可选,一汽-大众奥迪官网,Audi 奥迪 金融政策,8277859,购车必看,0,-100.0
63,26,4,6,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利 博瑞 线上专享优惠,8277560,购车必看,33,78.37837837837837
64,0,0,2,1160元,天猫精选,英得尔车载冰箱源自欧洲可达-18℃德国压缩机制冷车家两用冰箱H12,8277846,NULL,2,100.0
65,25,16,6,置换礼包，分期0利息、2000元油卡,易车,VOLVO 沃尔沃 V60 线上专享优惠,8267363,购车必看,24,20.0
66,218,29,93,2028000元,保时捷中国官网,Porsche 保时捷 911 GT3,8272362,高端秀,1547,96.31979695431471
67,29,14,5,2000元油卡、1460元礼包,易车,上汽 MG6 全新名爵6 线上专享优惠,8267125,购车必看,48,54.83870967741935
68,97,13,8,5000元置换补贴、优先提车、500元油卡,易车,广汽本田 冠道 线上专享优惠,8267141,限地区,46,55.932203389830505
69,63,9,33,置换补贴、送车顶行李架、2000元油卡,易车,VOLVO 沃尔沃 V90 Cross Country 线上专享优惠,8265509,购车必看,100,83.4862385321101
70,34,28,6,1000元现金优惠、1111元京东卡,易车,Jeep 指南者 线上专享优惠,8265487,购车必看,25,-5.660377358490567
71,33,14,5,4000元礼包、1000元油卡,易车,上汽大众 全新途安L 线上专享优惠,8265464,购车必看,22,22.22222222222222
72,28,5,6,​购车礼包,保时捷中国官网,保时捷 Macan Cayenne 线上专享优惠,8165442,上海浦西,96,90.0990099009901
73,847,182,279,15.88-20.28万,什么值得买,LYNK &amp; CO 领克01 全新紧凑型SUV,8258077,新车上市,1112,71.87017001545595
74,35,13,14,50%购置税补贴、10000元保养补贴、2000元油卡,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8257365,购车必看,76,70.78651685393258
75,31,60,19,1元抽整车,易车,五菱 宏光S3 线上专享优惠,8258016,购车必看,61,0.8264462809917356
76,11,5,6,8888元购车优惠、2000元现金红包,易车,驭胜 S330 线上专享优惠,8257773,购车必看,11,37.5
77,1,1,1,48元（需用券）,天猫精选,香百年 汽车香水,8256365,NULL,0,-100.0
78,0,0,1,$61.19（约404.68元）,美国亚马逊,史低价：Graco My Ride 65 儿童汽车座椅,8255529,NULL,0,
79,46,92,8,1111元购车券、1000元现金优惠,易车,Jeep 自由侠 线上专享优惠,8249920,购车必看,11,-78.64077669902912
80,4,5,3,1000元购车红包、半价车,易车,广汽传祺 GA6 线上专享优惠,8249792,购车必看,7,16.666666666666664
81,6,2,9,2000元现金优惠、半价车、1000元油卡,易车,广汽三菱 劲炫 线上专享优惠,8249675,购车必看,14,75.0
82,18,20,11,抢半价车,易车,宝骏 510 线上专享优惠,8241552,购车必看,13,-21.21212121212121
83,32,13,5,1000元现金优惠、1700元礼包,易车,RENAULT 雷诺 科雷傲 线上专享优惠,8241539,购车必看,10,-13.043478260869565
84,44,56,14,抢半价车,易车,宝骏 560 线上专享优惠,8241505,购车必看,23,-41.77215189873418
85,142,1,76,2017年10月,什么值得买,MPV销量与价格优惠排行榜,8221490,车榜单,37,94.73684210526315
86,32,11,14,7000元置换补贴,易车,本田 雅阁锐·混动 线上专享优惠,8234278,限地区,27,42.10526315789473
87,6,1,4,$219.99（约1455.56元）,美国亚马逊,Britax 百代适 Marathon ClickTight ARB 防反弹双向汽车安全座椅,8236893,NULL,2,33.33333333333333
88,254,6,106,2017年10月,什么值得买,SUV销量与价格优惠排行,8215023,车榜单,36,71.42857142857143
89,17,10,2,最高享7万元优惠、全新途安L使用权,易车,上汽大众 PHIDEON 辉昂 线上专享优惠,8230948,购车必看,6,-25.0
90,8,11,5,抢半价车,易车,长安 CS55 线上专享优惠,8230872,购车必看,7,-22.22222222222222
91,11,14,7,50%购置税补贴,易车,VOLVO 沃尔沃 S90 线上专享优惠,8230813,购车必看,19,15.151515151515152
92,1,0,0,2580元,亚马逊中国,Britax 宝得适 儿童安全座椅 双面骑士 Dualfix（送车载冰箱，汽车坐垫凉席）,8231603,NULL,4,100.0
93,53,15,14,平均优惠5.75万元,什么值得买,Audi 奥迪 A4L 豪华中级车,8230041,购车必看,29,31.818181818181817
94,16,5,6,购车礼包,保时捷中国官网,Porsche 保时捷 多款车型线上专享优惠,8166678,广州车源,113,91.52542372881356
95,1,0,3,38元（需用券）,天猫精选,solam 索浪 车载MP3播放器 汽车蓝牙接收器 车载充电器,8225878,NULL,0,
96,570,5,179,IMAX VR观影券获奖名单公布,什么值得买,轿车销量与价格优惠排行 2017年10月,8217190,车榜单,99,90.38461538461539
97,15,12,5,终身免费保养、分期0利息,易车,东南 DX7 线上专享优惠,8221381,购车必看,17,17.24137931034483
98,13,18,6,4000元礼包、16600元金融礼包,易车,上汽大众 途观L 线上专享补贴,8221336,购车必看,13,-16.129032258064516
99,45,19,6,5000元置换补贴、优先提车、500元油卡,易车,广汽本田 冠道 线上专享优惠,8221244,限地区,18,-2.7027027027027026
100,5,4,3,置换礼包，分期0利息、2000元油卡,易车,VOLVO 沃尔沃 V60 线上专享优惠,8221173,购车必看,24,71.42857142857143
101,19,11,9,2000元油卡、1460元礼包,易车,上汽 MG6 全新名爵6 线上专享优惠,8220999,购车必看,24,37.142857142857146
102,4,8,6,1050元现金红包、半价车、2年0利率,易车,广汽传祺 GS4 线上专享优惠,8220935,购车必看,4,-33.33333333333333
103,18,24,5,4000元礼包、1000元油卡,易车,上汽大众 全新途安L 线上专享优惠,8214507,购车必看,19,-11.627906976744185
104,20,7,8,1元抽整车,易车,五菱 宏光S3 线上专享优惠,8214341,购车必看,65,80.55555555555556
105,47,7,18,置换补贴、送车顶行李架、2000元油卡,易车,VOLVO 沃尔沃 V90 Cross Country 线上专享优惠,8214152,购车必看,57,78.125
106,7,11,2,500元现金优惠、18期0利率,易车,宝骏 730 线上专享优惠,8214011,购车必看,2,-69.23076923076923
107,19,15,6,1000元现金优惠、1111元京东卡,易车,Jeep 指南者 线上专享优惠,8213398,购车必看,21,16.666666666666664
108,10,6,1,8888元购车优惠、2000元现金红包,易车,驭胜 S330 线上专享优惠,8213036,购车必看,7,7.6923076923076925
109,33,7,18,500元现金优惠,易车,五菱 宏光S/S1 线上专享优惠,8202021,购车必看,115,88.52459016393442
110,65,27,6,1111元购车券、1000元现金优惠,易车,Jeep 自由侠 线上专享优惠,8202198,购车必看,20,-14.893617021276595
111,11,12,3,1000元加油卡、半价车,易车,BMW 宝马 2系 旅行车 线上专享优惠,8202151,购车必看,6,-33.33333333333333
112,38,9,14,半价车,易车,宝骏 310 wagon 线上专享优惠,8201468,购车必看,53,70.96774193548387
113,31,10,7,2000元现金优惠、半价车、1000元油卡,易车,广汽三菱 劲炫 线上专享优惠,8208437,购车必看,28,47.368421052631575
114,29,5,8,50%购置税补贴、10000元保养补贴、2000元油卡,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8201302,购车必看,24,65.51724137931035
115,143,26,25,最高2万元金融贴息,天猫精选,玛莎拉蒂 Levante 经典版,8202842,新车上市,637,92.15686274509804
116,43,4,27,抢半价车,易车,宝骏 310 线上专享补贴,8201552,购车必看,44,83.33333333333334
117,45,8,13,免购置税,易车,VOLVO 沃尔沃 S60L 线上专享优惠,8200475,购车必看,31,58.97435897435898
118,59,39,8,4000元专享礼包,易车,上汽大众 途昂 中大型SUV 线上专享优惠,8200440,购车必看,22,-27.86885245901639
119,36,7,18,5000元购车礼包,易车,BMW 宝马 3系 线上专享优惠,8200398,购车必看,24,54.83870967741935
120,15,6,15,抢半价车,易车,宝骏 510 线上专享优惠,8200363,购车必看,17,47.82608695652174
121,231,31,33,3000元购车礼,保时捷中国官网,Porsche 保时捷 Panamera 线上专享优惠,8166539,杭州车源,869,93.11111111111111
122,8,7,4,1000元购车红包、半价车,易车,广汽传祺 GA6 线上专享优惠,8200153,购车必看,8,6.666666666666667
123,25,18,8,抢半价车,易车,宝骏 560 线上专享优惠,8182375,购车必看,64,56.09756097560976
124,81,16,11,最高享1000元现金优惠,易车,RENAULT 雷诺 科雷傲 线上专享优惠,8182344,购车必看,43,45.76271186440678
125,92,17,29,7000元置换补贴,易车,本田 雅阁锐·混动 线上专享优惠,8170905,限地区,104,71.900826446281
126,126,60,14,1050元现金红包、半价车,易车,广汽传祺 GS4 线上专享优惠,8182191,购车必看,42,-17.647058823529413
127,139,35,12,2000元油卡、1460元礼包,易车,上汽 MG6 全新名爵6 线上专享优惠,8182058,购车必看,84,41.17647058823529
128,14,25,9,下单购车享置换礼包，分期0利息！再送2000元油卡,易车,VOLVO 沃尔沃 V60 线上专享优惠,8171130,购车必看,19,-13.636363636363635
129,47,38,6,4000元线上专享礼包、16600元金融礼包,易车,上汽大众 途观L 线上专享补贴,8171056,购车必看,22,-26.666666666666668
130,109,8,14,5000元置换补贴,易车,广汽本田 冠道 线上专享优惠,8170860,限地区,80,81.81818181818183
131,3,4,1,1元,天猫精选,Avenir车型领衔，2018款新君越 试乘试驾 尊享好礼,8190196,NULL,0,-100.0
132,107,14,40,999元购车优惠、专享超低价31.8万元起,易车,2017款 福特 野马 线上专享优惠,8182032,购车必看,111,77.60000000000001
133,165,46,51,22.98-30.98万,天猫精选,Avenir车型领衔，2018款新君越,8189828,新车上市,107,39.869281045751634
134,36,14,89,300元租车礼包（新用户专享）,悟空租车,悟空租车 新用户专享线上专享优惠,8188570,租车必看,47,54.09836065573771
135,46,15,40,1元抽整车,易车,五菱 宏光S3 线上专享优惠,8181754,购车必看,366,92.1259842519685
136,5,4,2,1300元优惠,易车,宝骏 730 线上专享购车补贴,8170825,购车必看,10,42.857142857142854
137,24,14,4,终身免费保养,易车,东南 DX7 线上专享优惠,8170777,购车必看,3,-64.70588235294117
138,38,7,18,50%购置税补贴,易车,VOLVO 沃尔沃 S90 线上专享优惠,8170738,购车必看,51,75.86206896551724
139,48,12,8,购车礼包,保时捷中国官网,保时捷 Macan Cayenne 线上专享优惠,8166651,上海闵行,125,82.48175182481752
140,27,10,6,2000元现金优惠、半价车,易车,广汽三菱 劲炫 线上专享优惠,8181620,购车必看,19,31.03448275862069
141,26,42,4,300元现金优惠、半价车,易车,长安 CS55 线上专享优惠,8181427,购车必看,4,-82.6086956521739
142,38,8,9,下单立减1000元、350元现金红包,易车,宝骏 310 wagon 线上专享优惠,8181177,购车必看,50,72.41379310344827
143,12,8,5,4000元线上专享礼包,易车,上汽大众 全新途安L 线上专享优惠,8169793,购车必看,18,38.46153846153847
144,47,7,15,50%购置税补贴,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8169728,购车必看,49,75.0
145,28,44,4,300元优惠,易车,长安 CS75 线上专享优惠,8169676,购车必看,6,-76.0
146,50,58,8,8.98万-13.58万元,天猫精选,上汽 荣威RX3 全新紧凑型SUV,8177286,新车上市,28,-34.883720930232556
147,34,4,2,888000元,天猫精选,玛莎拉蒂SUV Levante 经典版天猫限量定制款,8180040,NULL,105,92.66055045871559
148,16,7,12,免购置税,易车,VOLVO 沃尔沃 S60L 线上专享优惠,8169652,购车必看,25,56.25
149,11,2,3,1000元购车优惠等,易车,宝骏560 线上专享优惠,8169451,购车必看,22,83.33333333333334
150,25,23,2,最高享7万元优惠、全新途安L使用权,易车,上汽大众 PHIDEON 辉昂 线上专享优惠,8169337,购车必看,24,2.127659574468085
151,82,23,20,购车礼、到店礼,保时捷中国官网,Porsche 保时捷 Cayenne Macan 线上专享优惠,8166328,深圳车源,198,79.18552036199095
152,134,28,19,购车礼、到店礼,保时捷中国官网,Porsche 保时捷 多款车型线上专享优惠,8164228,购车必看,449,88.25995807127882
153,46,5,21,免购置税、置换享万元礼包、2000元油卡,易车,沃尔沃 XC60 线上专享补贴,8166120,购车必看,85,88.88888888888889
154,43,19,2,1050元现金红包、GS4专属好礼、半价车,易车,广汽传祺 GS4 线上专享优惠,8166090,购车必看,15,-11.76470588235294
155,100,66,10,1000元加油卡、3000元京东E卡、购车礼包、半价车等,易车,BMW 宝马 1系 线上专享优惠,8166032,购车必看,8,-78.37837837837837
156,12,43,7,购车享万元金融礼包,易车,上汽大众 全新帕萨特 线上专享优惠,8163855,购车必看,15,-48.275862068965516
157,17,11,2,1000元加油卡,易车,BMW 宝马 2系 旅行车 线上专享优惠,8163801,购车必看,13,8.333333333333332
158,48,4,6,半价购车、下单立减1000元、350元现金红包,易车,宝骏 510 线上专享优惠,8163580,购车必看,34,78.94736842105263
159,0,0,3,5.9元（需用券）,天猫精选,汽车用后视镜小圆镜360度可调 倒车盲点无边高清广角反光辅助镜子,8159925,NULL,0,
160,46,31,13,4000元线上专享礼包、16600元金融礼包,易车,上汽大众 途观L 线上专享补贴,8145034,购车必看,46,19.480519480519483
161,25,9,10,下单购车享置换礼包，分期0利息！再送2000元油卡,易车,VOLVO 沃尔沃 V60 线上专享优惠,8144983,购车必看,20,37.93103448275862
162,20,3,10,5000元购车礼包,易车,购车必看BMW 宝马 3系 线上专享优惠,8144634,购车必看,31,82.35294117647058
163,11,3,4,最高享1.66万金融礼包,易车,上汽大众 途观L 线上专享补贴,8146242,购车必看,10,53.84615384615385
164,4,2,0,最高享3000京东卡,易车,BMW 宝马 3系 线上专享优惠 ,8145685,购车必看,6,50.0
165,16,3,7,999元购车优惠、专享超低价31.8万元起,易车,2017款 福特 野马 线上专享优惠,8145308,购车必看,18,71.42857142857143
166,6,6,3,2999元抵用券,易车,雪佛兰 探界者 线上专享优惠,8145131,购车必看,4,-20.0
167,6,3,1,最高享1000元现金优惠、半价车活动,易车,RENAULT 雷诺 科雷傲 线上专享优惠,8144468,购车必看,0,-100.0
168,15,12,13,试驾送好礼,天猫精选,BUICK 别克 GL6 MPV 线上专享优惠,8145415,购车必看,19,22.58064516129032
169,0,3,0,115元包邮,聚划算,Mobil美孚1号FS X2 5W-40 1L API SN级美孚一号全合成机油,8143165,NULL,0,-100.0
170,0,0,1,55元包邮,天猫精选,E路驰 汽车长效玻璃防雾防雨剂套装 ,8135824,双11预售,0,
171,125,9,97,5.68万-8.18万,易车,上汽通用五菱 宏光S3 7座SUV,8130499,新车上市,705,97.47899159663865
172,26,6,9,7000元置换补贴,易车,本田 雅阁锐·混动 线上专享优惠,8130303,限地区,62,82.35294117647058
173,27,25,2,4000元购车优惠,易车,大众 途锐 线上专享优惠,8129232,购车必看,8,-51.515151515151516
174,12,20,3,1111元购车券,易车,Jeep 自由侠 线上专享优惠,8128826,购车必看,8,-42.857142857142854
175,50,14,3,5000元置换补贴,易车,广汽本田 冠道 线上专享优惠,8127590,限地区,23,24.324324324324326
176,27,21,1,4476元礼包,易车,WEY VV5 线上专享优惠,8127343,购车必看,25,8.695652173913043
177,0,1,1,549元（领券）,聚划算,飞利浦车载空气净化器除烟异味甲醛智能汽车用空气净化器CP200,8129347,NULL,0,-100.0
178,72,74,15,27.18-34.18万,什么值得买,雷诺Espace进口跨界MPV,8120284,新车上市,36,-34.54545454545455
179,6,2,0,509元,聚划算,VICTON 伟力通 V6 胎压监测仪 无线外置,8123088,NULL,0,-100.0
180,13,1,15,54950元（1111元定金）,天猫精选,BYD 比亚迪 S7 SUV 1.5TI 七座尊贵型,8121330,双11预售,18,89.47368421052632
181,5,10,2,1300元优惠,易车,宝骏 730 线上专享购车补贴,8110240,购车必看,15,20.0
182,54,40,9,4476元礼包,易车,WEY VV7 线上专享优惠,8118695,购车必看,35,-6.666666666666667
183,12,4,5,终身免费保养,易车,东南 DX7 线上专享优惠,8116428,购车必看,16,60.0
184,16,7,3,50%购置税补贴,易车,VOLVO 沃尔沃 S90 线上专享优惠,8116074,购车必看,14,33.33333333333333
185,53,37,66,半价车购买资格,易车,TOYOTA 一汽丰田 RAV4 荣放,8118333,购车必看,32,-7.246376811594203
186,0,1,2,99元,聚划算,shell壳牌正品汽车防冻液水箱宝 防沸防腐蚀 -30C 4L,8113103,NULL,0,-100.0
187,20,7,13,4000元线上专享礼包,易车,上汽大众 全新途安L 线上专享优惠,8106933,购车必看,29,61.111111111111114
188,52,2,15,预约试驾抽车模,什么值得买,Cadillac 凯迪拉克 XT5 全系5万现金优惠,8108340,购车必看,34,88.88888888888889
189,15,4,11,免购置税,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8106760,购车必看,53,85.96491228070175
190,17,4,2,300元优惠,易车,长安CS75 线上专享优惠,8106403,购车必看,13,52.94117647058824
191,26,3,3,1348元,聚划算,强生汽车贴膜车膜汽车膜太阳膜全车膜汽车玻璃防爆膜隔热膜车窗膜,8103396,NULL,2,-20.0
192,13,12,0,560元,聚划算,官方店正品Mobil美孚1号金装0W-40 4L+1L美孚一号全合成汽车机油,8103385,NULL,3,-60.0
193,242,22,57,免购置税,易车,VOLVO 沃尔沃 S60L 线上专享优惠,8086620,购车必看,79,56.43564356435643
194,9,3,0,1000元购车优惠等,易车,宝骏560 线上专享优惠,8086783,购车必看,16,68.42105263157895
195,10,6,5,最高享1000现金优惠、1111元京东购物卡等,易车,Jeep 吉普 线上专享优惠专场,8098031,购车必看,10,25.0
196,121,56,21,最高享7万元优惠、全新途安L使用权,易车,上汽大众 PHIDEON 辉昂 线上专享优惠,8086347,购车必看,20,-47.368421052631575
197,0,1,1,38元包邮（需用券）,天猫精选,车仆 镀膜蜡车蜡 去污上光蜡 +凑单品,8089329,NULL,0,-100.0
198,7,8,1,1050元现金红包、GS4专属好礼、半价车,易车,广汽传祺 GS4 线上专享优惠,8085913,购车必看,12,20.0
199,15,8,2,1000元加油卡、3000元京东E卡、购车礼包、半价车等,易车,BMW 宝马 1系 线上专享优惠,8085552,购车必看,15,30.434782608695656
200,22,10,5,购车享万元金融礼包,易车,上汽大众 全新帕萨特 线上专享优惠,8085369,购车必看,9,-5.263157894736842
201,3,0,0,48元,天猫精选,德国橙油汽车内饰清洗剂 顶棚真皮革座椅泡沫清洁剂室内去污用品,8085573,NULL,0,
202,318,32,59,29.99万-35.9万,凯迪拉克中国官网,Cadillac 凯迪拉克 全新一代 XTS 中大型轿车,8078353,新车上市,355,83.4625322997416
203,19,20,1,1000元加油卡,易车,BMW 宝马 2系 旅行车 线上专享优惠,8066629,购车必看,4,-66.66666666666666
204,37,4,16,下单立减1000元、350元现金红包,易车,宝骏 310 wagon,8066388,购车必看,35,79.48717948717949
205,26,5,20,半价购车、下单立减1000元、350元现金红包,易车,宝骏 510 线上专享优惠,8066268,购车必看,24,65.51724137931035
206,13,40,7,4000元线上专享礼包、全新途安L使用权、16600元金融礼包、购车礼包,易车,上汽大众 途观L 线上专享补贴,8066116,购车必看,18,-37.93103448275862
207,20,4,5,下单购车享置换礼包，分期0利息！再送2000元油卡,易车,VOLVO 沃尔沃 V60 线上专享优惠,8065948,购车必看,18,63.63636363636363
208,181,59,60,9.68万-13.28万,天猫精选,上汽 MG6 全新名爵6,8067509,新车上市,221,57.85714285714286
209,89,11,43,3000元京东卡、购车礼包、1500元加油卡、半价车等,易车,BMW 宝马 3系 线上专享优惠,8008001,购车必看,23,35.294117647058826
210,6,0,7,1元，享2000元定金翻倍,天猫精选,宝骏310W豪华型试驾 定金翻倍,8066128,NULL,9,100.0
211,23,38,71,抢半价车购买资格,易车,易车购车狂欢节 半价车专场,8049735,双11必看,11,-55.10204081632652
212,118,39,6,4000元线上专享礼包、全新途安L使用权、16600元金融礼包、购车礼包,易车,上汽大众 途昂 中大型SUV 线上专享优惠,8007974,购车必看,13,-50.0
213,0,0,0,9.9元包邮（需用券）,天猫精选,汽车用清雪铲 不伤玻璃除冰雪霜铲子,8064506,NULL,2,100.0
